"region_bld","mat","eneff_f","value","barrier_rent","barrier_mfh","scaling_factor"
"C-EEU-BGR","perm","adv",-4.65894051129591,0.261042438408723,0.367507735696465,0.078854934108351
"C-EEU-BGR","perm","std",-2.00843556163261,0.261042438408723,0.367507735696465,0.078854934108351
"C-EEU-CZE","perm","adv",-4.51714597662616,0.229635030040823,0.399560061906203,0.078854934108351
"C-EEU-CZE","perm","std",-1.60121207973891,0.229635030040823,0.399560061906203,0.078854934108351
"C-EEU-EST","perm","adv",-4.91381483836586,0.281062147931543,0,0.078854934108351
"C-EEU-EST","perm","std",-2.88304862283684,0.281062147931543,0,0.078854934108351
"C-EEU-HUN","perm","adv",-4.25287044395698,0.29164628351894,0.784377259307412,0.078854934108351
"C-EEU-HUN","perm","std",-2.01906237939957,0.29164628351894,0.784377259307412,0.078854934108351
"C-EEU-LTU","perm","adv",-4.06944841194089,0.217687285172022,0,0.078854934108351
"C-EEU-LTU","perm","std",-2.74858450767533,0.217687285172022,0,0.078854934108351
"C-EEU-LVA","perm","adv",-6.43959286652295,0.667589097394303,0,0.078854934108351
"C-EEU-LVA","perm","std",-2.65774000987922,0.667589097394303,0,0.078854934108351
"C-EEU-POL","perm","adv",-6.24268513737152,0.380611182125878,0.625367825541721,0.078854934108351
"C-EEU-POL","perm","std",-1.73688190798519,0.380611182125878,0.625367825541721,0.078854934108351
"C-EEU-ROU","perm","adv",-4.52243138199616,1.91977234979168,0.728418717914499,0.078854934108351
"C-EEU-ROU","perm","std",-1.8569158927232,1.91977234979168,0.728418717914499,0.078854934108351
"C-EEU-SVK","perm","adv",-4.26318577112795,0.460166633570095,0.802191460114807,0.078854934108351
"C-EEU-SVK","perm","std",-1.83407852881578,0.460166633570095,0.802191460114807,0.078854934108351
"C-EEU-SVN","perm","adv",-4.68864553714815,0,0.358677367853048,0.078854934108351
"C-EEU-SVN","perm","std",-1.97338335929505,0,0.358677367853048,0.078854934108351
"C-WEU-AUT","perm","adv",-2.41235575645433,1.14250849718111,0,0.078854934108351
"C-WEU-AUT","perm","std",-0.216011015327883,1.14250849718111,0,0.078854934108351
"C-WEU-BEL","perm","adv",-2.40049803044712,0.566245375605302,1.05495540636546,0.078854934108351
"C-WEU-BEL","perm","std",-1.41662867641187,0.566245375605302,1.05495540636546,0.078854934108351
"C-WEU-CYP","perm","adv",-2.33893918843073,0.285886256206925,0.840755937194578,0.078854934108351
"C-WEU-CYP","perm","std",-0.610716684591486,0.285886256206925,0.840755937194578,0.078854934108351
"C-WEU-DEU","perm","adv",-2.80311990610198,1.08590312485694,0,0.078854934108351
"C-WEU-DEU","perm","std",-0.59433984725779,1.08590312485694,0,0.078854934108351
"C-WEU-DNK","perm","adv",-5.29977764078578,1.22321294345197,0,0.078854934108351
"C-WEU-DNK","perm","std",-0.555744420716525,1.22321294345197,0,0.078854934108351
"C-WEU-ESP","perm","adv",-3.87919338265597,0,0,0.078854934108351
"C-WEU-ESP","perm","std",-2.1392522585491,0,0,0.078854934108351
"C-WEU-FIN","perm","adv",-5.82051536230554,1.02230019682339,0,0.078854934108351
"C-WEU-FIN","perm","std",-1.09523095845542,1.02230019682339,0,0.078854934108351
"C-WEU-FRA","perm","adv",-1.75809991851238,0.696078058892271,1.24268357862566,0.078854934108351
"C-WEU-FRA","perm","std",-0.891776387914979,0.696078058892271,1.24268357862566,0.078854934108351
"C-WEU-GRC","perm","adv",-2.91148542370542,0.741683760568472,1.01371401191615,0.078854934108351
"C-WEU-GRC","perm","std",-1.16482240258997,0.741683760568472,1.01371401191615,0.078854934108351
"C-WEU-HRV","perm","adv",-4.76154914565412,0,0,0.078854934108351
"C-WEU-HRV","perm","std",-2.02717775547907,0,0,0.078854934108351
"C-WEU-IRL","perm","adv",-2.33598171196178,1.04499301367297,0,0.078854934108351
"C-WEU-IRL","perm","std",-0.729633823390796,1.04499301367297,0,0.078854934108351
"C-WEU-ITA","perm","adv",-2.75018585384561,0.183915198553647,0,0.078854934108351
"C-WEU-ITA","perm","std",-1.65068722149296,0.183915198553647,0,0.078854934108351
"C-WEU-LUX","perm","adv",-0.486077843041832,1.0007387363629,1.83888246136487,0.078854934108351
"C-WEU-LUX","perm","std",-0.546031832489111,1.0007387363629,1.83888246136487,0.078854934108351
"C-WEU-MLT","perm","adv",-3.90617039022093,0,0,0.078854934108351
"C-WEU-MLT","perm","std",-2.0759455508023,0,0,0.078854934108351
"C-WEU-NLD","perm","adv",-2.56202097252471,0.411227859301414,1.04416240321238,0.078854934108351
"C-WEU-NLD","perm","std",-0.930395236450437,0.411227859301414,1.04416240321238,0.078854934108351
"C-WEU-PRT","perm","adv",-4.2085373309962,0.456117576438773,0,0.078854934108351
"C-WEU-PRT","perm","std",-2.09580556751622,0.456117576438773,0,0.078854934108351
"C-WEU-SWE","perm","adv",-2.41246551858248,1.46194750244916,0,0.078854934108351
"C-WEU-SWE","perm","std",-0.311424549850488,1.46194750244916,0,0.078854934108351
